WikidataITEM,CountryIsoCode,countryLabel,WikidataLabel,Continent,FormerColony,hdi,mobilityScore,loc,lat,long
http://www.wikidata.org/entity/Q1007,GNB,Guinea-Bissau,Guinea-Bissau,Africa,True,0.48,51.0,Guiné-Bissau,11.815215,-15.2351044
http://www.wikidata.org/entity/Q36,POL,Poland,Poland,Europe,,0.88,132.0,Polska,52.215933,19.134422
http://www.wikidata.org/entity/Q32,LUX,Luxembourg,Luxembourg,Europe,,916.0,133.0,Lëtzebuerg,49.8158683,6.1296751
,,Sikkim,,,,,,"Sikkim, India",27.601029,88.45413638680145
http://www.wikidata.org/entity/Q790,HTI,Haiti,Haiti,Latin_America_and_Caribbean,True,0.51,45.0,Ayiti,19.1399952,-72.3570972
http://www.wikidata.org/entity/Q668,IND,India,India,Asia,True,645.0,53.0,India,22.3511148,78.6677428
,,Saint Martin,,,,,,"Saint-Martin (France), 97150, France",18.0814066,-63.0467131
,,Tokelau,,,,,,Tokelau,-9.1676396,-171.819687
,,Democratic Republic of Vietnam,,,,,,"Đại sứ quán Cộng hòa Dân chủ Nhân dân Triều Tiên, 25, Phố Cao Bá Quát, Phường Điện Biên, Quận Ba Đình, Thành phố Hà Nội, 10999, Việt Nam",21.03015705,105.83879503557694
,,Norfolk Island,,,,,,"Norfolk Island, Australia",-29.0328038,167.9483137
http://www.wikidata.org/entity/Q225,BIH,Bosnia and Herzegovina,Bosnia and Herzegovina,Europe,,0.78,75.0,Bosna i Hercegovina / Босна и Херцеговина,44.3053476,17.5961467
http://www.wikidata.org/entity/Q20,NOR,Norway,Norway,Europe,,957.0,133.0,Norge,61.1529386,8.7876653
http://www.wikidata.org/entity/Q424,KHM,Cambodia,Cambodia,Asia,True,594.0,51.0,ព្រះរាជាណាចក្រ​កម្ពុជា,12.5433216,104.8144914
,,Bouvet Island,,,,,,"Bouvetøya, Norge",-54.4201305,3.3599732952297483
http://www.wikidata.org/entity/Q399,ARM,Armenia,Armenia,Asia,True,776.0,60.0,Հայաստան,40.7696272,44.6736646
,,Upper Volta,,,,,,Burkina Faso,12.0753083,-1.6880314
http://www.wikidata.org/entity/Q965,BFA,Burkina Faso,Burkina Faso,Africa,True,452.0,54.0,Burkina Faso,12.0753083,-1.6880314
http://www.wikidata.org/entity/Q836,MMR,Myanmar/Burma,Myanmar,Asia,True,583.0,41.0,မြန်မာ,17.1750495,95.9999652
http://www.wikidata.org/entity/Q858,SYR,Syria,Syria,Asia,True,567.0,32.0,سوريا,34.6401861,39.0494106
,,Jersey,,,,,,Jersey,49.2214561,-2.1358386
http://www.wikidata.org/entity/Q574,TLS,Timor-Leste,East Timor,Asia,True,606.0,57.0,Timór Lorosa'e / Timor-Leste,-8.7443169,126.063482
http://www.wikidata.org/entity/Q237,VAT,Vatican City State,Vatican City,Europe,,,113.0,Civitas Vaticana - Città del Vaticano,41.903411,12.4528527
http://www.wikidata.org/entity/Q967,BDI,Burundi,Burundi,Africa,True,433.0,49.0,Burundi,-3.426449,29.9324519
,,New Hebrides,,,,,,"Bail' Ùr Tholastaidh, Na h-Eileanan Siar, Alba / Scotland, HS2 0NN, United Kingdom",58.3545252,-6.2164994
http://www.wikidata.org/entity/Q1044,SLE,Sierra Leone,Sierra Leone,Africa,True,452.0,56.0,Sierra Leone,8.6400349,-11.8400269
http://www.wikidata.org/entity/Q865,TWN,Taiwan,Taiwan,Asia,True,,80.0,臺灣,23.9739374,120.9820179
http://www.wikidata.org/entity/Q159,RUS,Russia,Russia,Europe,,824.0,97.0,Россия,64.6863136,97.7453061
,,Trust Territory of the Pacific Islands,,,,,,,,
http://www.wikidata.org/entity/Q45,PRT,Portugal,Portugal,Europe,,864.0,133.0,Portugal,39.6621648,-8.1353519
http://www.wikidata.org/entity/Q215,SVN,Slovenia,Slovenia,Europe,,917.0,131.0,Slovenija,46.1199444,14.8153333
,,British Indian Ocean Territory,,,,,,British Indian Ocean Territory,-5.3497093499999995,71.86064227010121
http://www.wikidata.org/entity/Q800,CRI,Costa Rica,Costa Rica,Latin_America_and_Caribbean,True,0.81,87.0,Costa Rica,10.2735633,-84.0739102
,,Wake Islands,,,,,,"Future Islands Way, Wendell Falls, Wendell, Wake County, North Carolina, 27591, United States",35.7604321,-78.4272865
http://www.wikidata.org/entity/Q884,KOR,South Korea,South Korea,Asia,True,916.0,131.0,대한민국,36.638392,127.6961188
http://www.wikidata.org/entity/Q730,SUR,Suriname,Suriname,Latin_America_and_Caribbean,True,738.0,65.0,Suriname,4.1413025,-56.0771187
http://www.wikidata.org/entity/Q786,DOM,Dominican Republic,Dominican Republic,Latin_America_and_Caribbean,True,756.0,57.0,República Dominicana,19.0974031,-70.3028026
,,Clipperton,,,,,,"Île de Clipperton, France",10.30364715,-109.21632150729127
,,Anguilla,,,,,,Anguilla,18.1954947,-63.0750234
,,South Georgia and the South Sandwich Islands,,,,,,South Georgia and the South Sandwich Islands,-54.8432857,-35.8090698
http://www.wikidata.org/entity/Q948,TUN,Tunisia,Tunisia,Africa,True,0.74,64.0,تونس,33.8439408,9.400138
,,North Yemen,,,,,,"سفارة الجمهورية اليمنية, شارع جامعة الدول العربية, مسقط, 111, عمان",23.604173199999998,58.436753880263765
